model,best_epoch,n_params,train_Accuracy,train_F1_macro,val_Accuracy,val_F1_macro,test_Accuracy,test_F1_macro
FullyConnectedVQCs_12t8t6_L3_K3,N/A,612.0,0.5671214788732394,0.27199372001170313,0.5359342915811088,0.23981635286792446,0.5852156057494866,0.26356919763018366
ResNetVQC_L3_K3,N/A,570.0,0.5805457746478874,0.30441467707135406,0.5574948665297741,0.30994297429186873,0.5790554414784395,0.28864938290242353
MLPClassifier_L3_K3,N/A,13702.0,0.5790052816901409,0.3667688198914736,0.528747433264887,0.29358957757453896,0.5852156057494866,0.3590966301600169
QuantumTransformerVQC_L2_K3,N/A,1098.0,0.6274207746478874,0.3717906648855313,0.5636550308008214,0.30471293301395214,0.5872689938398358,0.3092085724114459
FullQuantumTransformerVQC_L2_K3,N/A,678.0,0.597931338028169,0.3066153437904723,0.5482546201232033,0.27117965444465764,0.5924024640657084,0.29409692370394525
SVC_RBF,N/A,,0.4317781690140845,0.10480270366864743,0.4322381930184805,0.10538505257175335,0.43121149897330596,0.10169794885007573
LogisticRegression,N/A,,0.43617957746478875,0.10166966761447734,0.43634496919917864,0.10126280676673814,0.43634496919917864,0.10140777857313289
MLPClassifier_ParamMatch,N/A,204.0,0.563600352112676,0.2839587559759726,0.5277207392197125,0.25061764491893673,0.5677618069815195,0.2661687500369729
XGBClassifier,N/A,,0.3316461267605634,0.1618958025772881,0.36960985626283366,0.1522529085958979,0.36344969199178645,0.16184009880350841
CatBoostClassifier,N/A,,0.3732394366197183,0.15097566119369013,0.37474332648870634,0.13667451025405572,0.3809034907597536,0.14456857904286285
FullQuantumTransformerVQC_L2_K3_H2,N/A,1470.0,0.5981514084507042,0.2985763292985239,0.5636550308008214,0.2746012903773414,0.5811088295687885,0.2797823578329271
FullQuantumTransformerVQC_L2_K3_H3,N/A,1974.0,0.6029929577464789,0.3055373733957087,0.5492813141683778,0.2776457377555311,0.5852156057494866,0.2864311311785314
QuantumTransformerVQC_L2_K3_H2,N/A,2322.0,0.6349031690140845,0.31885810142262455,0.5513347022587269,0.28356748279056826,0.6036960985626283,0.3038754444332732
QuantumTransformerVQC_L2_K3_H3,N/A,3258.0,0.6404049295774648,0.32543569208496126,0.5841889117043121,0.30363760366597514,0.5954825462012321,0.2999991112533106
